ust_kategori,hayvansal_alt_grup,il_kod,il_adi,ilce_kod,ilce_adi,period,duzey_kodu,duzey_tip,y2021,y2022,y2023,y2024,il_ilce_adi
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1104,Seyhan,yillik,1104,4,58,56,56,56,Adana Seyhan
Hayvansal Üretim,Diðer,1,Adana,1104,Seyhan,yillik,1104,4,487,532,528,531,Adana Seyhan
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1104,Seyhan,yillik,1104,4,3,3,3,4,Adana Seyhan
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1104,Seyhan,yillik,1104,4,3,3,3,3,Adana Seyhan
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1104,Seyhan,yillik,1104,4,1,1,1,1,Adana Seyhan
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1104,Seyhan,yillik,1104,4,1,1,1,1,Adana Seyhan
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1219,Ceyhan,yillik,1219,4,58,56,56,56,Adana Ceyhan
Hayvansal Üretim,Diðer,1,Adana,1219,Ceyhan,yillik,1219,4,425,438,449,506,Adana Ceyhan
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1219,Ceyhan,yillik,1219,4,3,3,4,3,Adana Ceyhan
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1219,Ceyhan,yillik,1219,4,3,3,3,3,Adana Ceyhan
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1219,Ceyhan,yillik,1219,4,1,1,1,1,Adana Ceyhan
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1219,Ceyhan,yillik,1219,4,1,1,1,1,Adana Ceyhan
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1329,Feke,yillik,1329,4,58,56,56,56,Adana Feke
Hayvansal Üretim,Diðer,1,Adana,1329,Feke,yillik,1329,4,210,255,256,267,Adana Feke
