il_adi,ilce_adi,denetim_sayisi,il_ilce,il_kod,ilce_kod
Adana,Aladað,145,Adana Aladað,1,1757
Adana,Ceyhan,2426,Adana Ceyhan,1,1219
Adana,Çukurova,5860,Adana Çukurova,1,2033
Adana,Feke,193,Adana Feke,1,1329
Adana,Ýmamoðlu,501,Adana Ýmamoðlu,1,1806
Adana,Karaisalý,615,Adana Karaisalý,1,1437
Adana,Karataþ,447,Adana Karataþ,1,1443
Adana,Kozan,1588,Adana Kozan,1,1486
Adana,Pozantý,696,Adana Pozantý,1,1580
Adana,Saimbeyli,115,Adana Saimbeyli,1,1588
Adana,Sarýçam,2725,Adana Sarýçam,1,2032
Adana,Seyhan,9446,Adana Seyhan,1,1104
Adana,Tufanbeyli,252,Adana Tufanbeyli,1,1687
Adana,Yumurtalýk,483,Adana Yumurtalýk,1,1734
Adana,Yüreðir,5026,Adana Yüreðir,1,1748
Adýyaman,Besni,553,Adýyaman Besni,2,1182
Adýyaman,Çelikhan,142,Adýyaman Çelikhan,2,1246
Adýyaman,Gerger,67,Adýyaman Gerger,2,1347
Adýyaman,Gölbaþý,504,Adýyaman Gölbaþý,2,1354
Adýyaman,Kahta,1330,Adýyaman Kahta,2,1425
Adýyaman,Merkez,2850,Adýyaman Merkez,2,1105
Adýyaman,Samsat,27,Adýyaman Samsat,2,1592
Adýyaman,Sincik,61,Adýyaman Sincik,2,1985
Adýyaman,Tut,207,Adýyaman Tut,2,1989
Afyonkarahisar,Baþmakçý,424,Afyonkarahisar Baþmakçý,3,1771
Afyonkarahisar,Bayat,100,Afyonkarahisar Bayat,3,1773
Afyonkarahisar,Bolvadin,1081,Afyonkarahisar Bolvadin,3,1200
Afyonkarahisar,Çay,946,Afyonkarahisar Çay,3,1239
Afyonkarahisar,Çobanlar,189,Afyonkarahisar Çobanlar,3,1906
Afyonkarahisar,Dazkýrý,346,Afyonkarahisar Dazkýrý,3,1267
Afyonkarahisar,Dinar,1135,Afyonkarahisar Dinar,3,1281
Afyonkarahisar,Emirdað,585,Afyonkarahisar Emirdað,3,1306
Afyonkarahisar,Evciler,171,Afyonkarahisar Evciler,3,1923
Afyonkarahisar,Hocalar,125,Afyonkarahisar Hocalar,3,1944
Afyonkarahisar,Ýhsaniye,381,Afyonkarahisar Ýhsaniye,3,1404
Afyonkarahisar,Ýscehisar,251,Afyonkarahisar Ýscehisar,3,1809
Afyonkarahisar,Kýzýlören,58,Afyonkarahisar Kýzýlören,3,1961
Afyonkarahisar,Merkez,5659,Afyonkarahisar Merkez,3,1108
Afyonkarahisar,Sandýklý,1306,Afyonkarahisar Sandýklý,3,1594
Afyonkarahisar,Sinanpaþa,535,Afyonkarahisar Sinanpaþa,3,1626
Afyonkarahisar,Sultandaðý,279,Afyonkarahisar Sultandaðý,3,1639
Afyonkarahisar,Þuhut,729,Afyonkarahisar Þuhut,3,1664
Aðrý,Diyadin,295,Aðrý Diyadin,4,1283
Aðrý,Doðubayazýt,1040,Aðrý Doðubayazýt,4,1287
Aðrý,Eleþkirt,277,Aðrý Eleþkirt,4,1301
Aðrý,Hamur,52,Aðrý Hamur,4,1379
Aðrý,Merkez,1700,Aðrý Merkez,4,1111
Aðrý,Patnos,776,Aðrý Patnos,4,1568
Aðrý,Taþlýçay,278,Aðrý Taþlýçay,4,1667
Aðrý,Tutak,279,Aðrý Tutak,4,1691
Aksaray,Aðaçören,31,Aksaray Aðaçören,68,1860
Aksaray,Eskil,290,Aksaray Eskil,68,1921
Aksaray,Gülaðaç,132,Aksaray Gülaðaç,68,1932
Aksaray,Güzelyurt,123,Aksaray Güzelyurt,68,1861
Aksaray,Merkez,2359,Aksaray Merkez,68,1120
Aksaray,Ortaköy,512,Aksaray Ortaköy,68,1557
Aksaray,Sarýyahþi,33,Aksaray Sarýyahþi,68,1866
Aksaray,Sultanhaný,307,Aksaray Sultanhaný,68,2106
Amasya,Göynücek,117,Amasya Göynücek,5,1363
Amasya,Gümüþhacýköy,545,Amasya Gümüþhacýköy,5,1368
Amasya,Hamamözü,65,Amasya Hamamözü,5,1938
Amasya,Merkez,2979,Amasya Merkez,5,1134
Amasya,Merzifon,1716,Amasya Merzifon,5,1524
Amasya,Suluova,697,Amasya Suluova,5,1641
Amasya,Taþova,573,Amasya Taþova,5,1668
Ankara,Akyurt,1096,Ankara Akyurt,6,1872
Ankara,Altýndað,9638,Ankara Altýndað,6,1130
Ankara,Ayaþ,642,Ankara Ayaþ,6,1157
Ankara,Bala,391,Ankara Bala,6,1167
Ankara,Beypazarý,1806,Ankara Beypazarý,6,1187
Ankara,Çamlýdere,179,Ankara Çamlýdere,6,1227
Ankara,Çankaya,29287,Ankara Çankaya,6,1231
Ankara,Çubuk,2281,Ankara Çubuk,6,1260
Ankara,Elmadað,1216,Ankara Elmadað,6,1302
Ankara,Etimesgut,10121,Ankara Etimesgut,6,1922
Ankara,Evren,59,Ankara Evren,6,1924
Ankara,Gölbaþý,3772,Ankara Gölbaþý,6,1744
Ankara,Güdül,293,Ankara Güdül,6,1365
Ankara,Haymana,517,Ankara Haymana,6,1387
Ankara,Kahramankazan,2939,Ankara Kahramankazan,6,1815
Ankara,Kalecik,418,Ankara Kalecik,6,1427
Ankara,Keçiören,12605,Ankara Keçiören,6,1745
Ankara,Kýzýlcahamam,800,Ankara Kýzýlcahamam,6,1473
Ankara,Mamak,8620,Ankara Mamak,6,1746
Ankara,Nallýhan,808,Ankara Nallýhan,6,1539
Ankara,Polatlý,3269,Ankara Polatlý,6,1578
Ankara,Pursaklar,2706,Ankara Pursaklar,6,2034
Ankara,Sincan,7957,Ankara Sincan,6,1747
Ankara,Þereflikoçhisar,840,Ankara Þereflikoçhisar,6,1658
Ankara,Yenimahalle,15474,Ankara Yenimahalle,6,1723
Antalya,Akseki,155,Antalya Akseki,7,1121
Antalya,Aksu,1107,Antalya Aksu,7,2035
Antalya,Alanya,7058,Antalya Alanya,7,1126
Antalya,Demre,1299,Antalya Demre,7,1811
Antalya,Döþemealtý,1509,Antalya Döþemealtý,7,2036
Antalya,Elmalý,1000,Antalya Elmalý,7,1303
Antalya,Finike,1294,Antalya Finike,7,1333
Antalya,Gazipaþa,2004,Antalya Gazipaþa,7,1337
Antalya,Gündoðmuþ,57,Antalya Gündoðmuþ,7,1370
Antalya,Ýbradý,56,Antalya Ýbradý,7,1946
Antalya,Kaþ,1842,Antalya Kaþ,7,1451
Antalya,Kemer,1703,Antalya Kemer,7,1959
Antalya,Kepez,7086,Antalya Kepez,7,2037
Antalya,Konyaaltý,3497,Antalya Konyaaltý,7,2038
Antalya,Korkuteli,1374,Antalya Korkuteli,7,1483
Antalya,Kumluca,1686,Antalya Kumluca,7,1492
Antalya,Manavgat,5739,Antalya Manavgat,7,1512
Antalya,Muratpaþa,11104,Antalya Muratpaþa,7,2039
Antalya,Serik,2131,Antalya Serik,7,1616
Ardahan,Çýldýr,79,Ardahan Çýldýr,75,1252
Ardahan,Damal,106,Ardahan Damal,75,2008
Ardahan,Göle,318,Ardahan Göle,75,1356
Ardahan,Hanak,96,Ardahan Hanak,75,1380
Ardahan,Merkez,922,Ardahan Merkez,75,1144
Ardahan,Posof,135,Ardahan Posof,75,1579
Artvin,Ardanuç,146,Artvin Ardanuç,8,1145
Artvin,Arhavi,824,Artvin Arhavi,8,1147
Artvin,Borçka,272,Artvin Borçka,8,1202
Artvin,Hopa,514,Artvin Hopa,8,1395
Artvin,Kemalpaþa,316,Artvin Kemalpaþa,8,2105
Artvin,Merkez,744,Artvin Merkez,8,1152
Artvin,Murgul,71,Artvin Murgul,8,1828
Artvin,Þavþat,199,Artvin Þavþat,8,1653
Artvin,Yusufeli,357,Artvin Yusufeli,8,1736
Aydýn,Bozdoðan,718,Aydýn Bozdoðan,9,1206
Aydýn,Buharkent,306,Aydýn Buharkent,9,1781
Aydýn,Çine,1303,Aydýn Çine,9,1256
Aydýn,Didim,2099,Aydýn Didim,9,2000
Aydýn,Efeler,6460,Aydýn Efeler,9,2076
Aydýn,Germencik,1274,Aydýn Germencik,9,1348
Aydýn,Ýncirliova,861,Aydýn Ýncirliova,9,1807
Aydýn,Karacasu,329,Aydýn Karacasu,9,1435
Aydýn,Karpuzlu,245,Aydýn Karpuzlu,9,1957
Aydýn,Koçarlý,632,Aydýn Koçarlý,9,1479
Aydýn,Köþk,669,Aydýn Köþk,9,1968
Aydýn,Kuþadasý,3016,Aydýn Kuþadasý,9,1497
Aydýn,Kuyucak,518,Aydýn Kuyucak,9,1498
Aydýn,Nazilli,2901,Aydýn Nazilli,9,1542
Aydýn,Söke,2385,Aydýn Söke,9,1637
Aydýn,Sultanhisar,893,Aydýn Sultanhisar,9,1640
Aydýn,Yenipazar,271,Aydýn Yenipazar,9,1724
Balýkesir,Altýeylül,3126,Balýkesir Altýeylül,10,2077
Balýkesir,Ayvalýk,2935,Balýkesir Ayvalýk,10,1161
Balýkesir,Balya,307,Balýkesir Balya,10,1169
Balýkesir,Bandýrma,2716,Balýkesir Bandýrma,10,1171
Balýkesir,Bigadiç,830,Balýkesir Bigadiç,10,1191
Balýkesir,Burhaniye,1752,Balýkesir Burhaniye,10,1216
Balýkesir,Dursunbey,818,Balýkesir Dursunbey,10,1291
Balýkesir,Edremit,4236,Balýkesir Edremit,10,1294
Balýkesir,Erdek,1193,Balýkesir Erdek,10,1310
Balýkesir,Gömeç,672,Balýkesir Gömeç,10,1928
Balýkesir,Gönen,1933,Balýkesir Gönen,10,1360
Balýkesir,Havran,678,Balýkesir Havran,10,1384
Balýkesir,Ývrindi,827,Balýkesir Ývrindi,10,1418
Balýkesir,Karesi,3476,Balýkesir Karesi,10,2078
Balýkesir,Kepsut,654,Balýkesir Kepsut,10,1462
Balýkesir,Manyas,472,Balýkesir Manyas,10,1514
Balýkesir,Marmara,832,Balýkesir Marmara,10,1824
Balýkesir,Savaþtepe,248,Balýkesir Savaþtepe,10,1608
Balýkesir,Sýndýrgý,694,Balýkesir Sýndýrgý,10,1619
Balýkesir,Susurluk,838,Balýkesir Susurluk,10,1644
Bartýn,Amasra,425,Bartýn Amasra,74,1761
Bartýn,Kurucaþile,106,Bartýn Kurucaþile,74,1496
Bartýn,Merkez,3719,Bartýn Merkez,74,1172
Bartýn,Ulus,323,Bartýn Ulus,74,1701
Batman,Beþiri,142,Batman Beþiri,72,1184
Batman,Gercüþ,107,Batman Gercüþ,72,1345
Batman,Hasankeyf,30,Batman Hasankeyf,72,1941
Batman,Kozluk,409,Batman Kozluk,72,1487
Batman,Merkez,4642,Batman Merkez,72,1174
Batman,Sason,113,Batman Sason,72,1607
Bayburt,Aydýntepe,114,Bayburt Aydýntepe,69,1767
Bayburt,Demirözü,160,Bayburt Demirözü,69,1788
Bayburt,Merkez,1460,Bayburt Merkez,69,1176
Bilecik,Bozüyük,1164,Bilecik Bozüyük,11,1210
Bilecik,Gölpazarý,86,Bilecik Gölpazarý,11,1359
Bilecik,Ýnhisar,20,Bilecik Ýnhisar,11,1948
Bilecik,Merkez,1377,Bilecik Merkez,11,1192
Bilecik,Osmaneli,286,Bilecik Osmaneli,11,1559
Bilecik,Pazaryeri,226,Bilecik Pazaryeri,11,1571
Bilecik,Söðüt,221,Bilecik Söðüt,11,1636
Bilecik,Yenipazar,38,Bilecik Yenipazar,11,1857
Bingöl,Adaklý,23,Bingöl Adaklý,12,1750
Bingöl,Genç,173,Bingöl Genç,12,1344
