il_kod,il_ad,ilce_kod,ilce_ad,merkez_ilce_mi,yuzolcum
1,Adana,1734,Yumurtalýk,false,439,82
1,Adana,1588,Saimbeyli,false,925,64
1,Adana,1104,Seyhan,true,3843
1,Adana,1748,Yüreðir,true,934,79
1,Adana,1443,Karataþ,false,654,57
1,Adana,1219,Ceyhan,false,1439,64
1,Adana,2032,Sarýçam,true,813,87
1,Adana,2033,Çukurova,true,262,48
1,Adana,1580,Pozantý,false,774,71
1,Adana,1757,Aladað,false,1222,91
1,Adana,1806,Ýmamoðlu,false,450,24
1,Adana,1486,Kozan,true,1894,39
1,Adana,1437,Karaisalý,false,1241,96
1,Adana,1329,Feke,false,1259,96
1,Adana,1687,Tufanbeyli,false,925,33
2,Adýyaman,1246,Çelikhan,false,451,66
2,Adýyaman,1592,Samsat,false,341,47
2,Adýyaman,1347,Gerger,false,710,97
2,Adýyaman,1354,Gölbaþý,false,871,61
2,Adýyaman,1182,Besni,false,1270,29
2,Adýyaman,1989,Tut,false,249,79
2,Adýyaman,1425,Kahta,false,1257,95
2,Adýyaman,1105,Merkez,true,1836,83
2,Adýyaman,1985,Sincik,false,518,12
3,Afyonkarahisar,1200,Bolvadin,false,919,46
3,Afyonkarahisar,1306,Emirdað,false,2051,6
3,Afyonkarahisar,1773,Bayat,true,406,19
3,Afyonkarahisar,1108,Merkez,false,1288,18
3,Afyonkarahisar,1809,Ýscehisar,false,436,45
3,Afyonkarahisar,1594,Sandýklý,false,13062
3,Afyonkarahisar,1771,Baþmakçý,true,389,3
3,Afyonkarahisar,1239,Çay,false,847,26
3,Afyonkarahisar,1906,Çobanlar,false,190,86
3,Afyonkarahisar,1923,Evciler,false,221,47
3,Afyonkarahisar,1639,Sultandaðý,false,862,52
3,Afyonkarahisar,1267,Dazkýrý,false,408,38
3,Afyonkarahisar,1961,Kýzýlören,false,121,99
3,Afyonkarahisar,1944,Hocalar,false,438,78
3,Afyonkarahisar,1664,Þuhut,false,1042,73
3,Afyonkarahisar,1281,Dinar,false,1214,76
3,Afyonkarahisar,1626,Sinanpaþa,false,811,56
3,Afyonkarahisar,1404,Ýhsaniye,false,8291
4,Aðrý,1568,Patnos,false,1527,25
4,Aðrý,1287,Doðubayazýt,false,2203,45
4,Aðrý,1667,Taþlýçay,false,790,67
4,Aðrý,1379,Hamur,false,862,96
4,Aðrý,1301,Eleþkirt,false,1255,9
4,Aðrý,1283,Diyadin,false,1494,69
4,Aðrý,1691,Tutak,false,1392,22
4,Aðrý,1111,Merkez,true,1734,75
5,Amasya,1368,Gümüþhacýköy,false,6651
5,Amasya,1363,Göynücek,false,574,73
5,Amasya,1938,Hamamözü,false,182,83
5,Amasya,1524,Merzifon,false,920,61
5,Amasya,1641,Suluova,false,451,1
5,Amasya,1134,Merkez,true,1874,55
5,Amasya,1668,Taþova,false,997,68
6,Ankara,1231,Çankaya,true,451,98
