"il_kod","ilce_kod","islem_adeti","islem_suresi"
"45","1362",887,1088
"6","2034",2388,2829
"37","1915",1,2
"34","2055",13610,17127
"66","1726",1013,1660
"52","2103",5162,5559
"47","1273",224,232
"1","1443",642,739
"31","1468",2432,2157
"31","1970",160,170
"24","1977",55,223
"19","1124",611,642
"44","1914",60,60
"38","1752",214,809
"36","1601",215,215
"18","1248",75,305
"6","1260",2384,2896
"20","1881",156,249
"55","1838",688,680
"53","1241",908,1045
"3","1404",1500,1638
"37","1867",0,0
"54","1847",39,37
"20","1871",9991,11062
"6","1387",1128,1249
"41","2063",3127,4013
"54","1351",1591,1648
"50","1274",3020,9967
"71","1992",1330,1332
"81","2017",548,562
"33","1366",770,1291
"22","1523",464,924
"11","1359",178,256
"39","1270",50,80
"64","1436",276,272
"31","1289",2334,3245
"44","1729",5455,5332
"35","1611",4467,8866
"16","1799",282,1038
"45","1590",10469,13814
"65","2099",1889,1873
"66","1198",1337,1942
"18","1300",114,192
"44","1143",188,233
"52","1797",630,794
"74","1761",296,264
"53","1796",135,128
"60","1740",1333,2198
"61","1732",694,666
"21","1624",1862,2072
"23","1762",132,303
"72","1184",268,404
"5","1368",1187,1524
"58","1342",533,650
"52","1891",276,328
"6","1747",8189,8908
"21","1263",898,847
"25","1683",2086,2151
"75","1380",3464,5241
"1","1748",12373,12890
"31","1382",968,1085
"3","1306",808,1103
"63","2091",8647,9769
"7","2038",6839,8638
"35","1521",5170,7029
"46","1919",0,0
"34","2051",20389,26129
"34","2052",7126,9388
"34","1852",15851,20343
"40","1890",105,102
"25","1416",3032,2951
"34","2010",12483,14007
"1","2032",5450,6522
"30","1737",3449,4369
"17","1205",1124,1187
"81","1794",85,131
"34","2012",13471,16822
"19","1850",680,2384
"26","2047",1680,1324
"58","1373",1119,1171
"66","1655",242,307
"26","1255",95,86
"55","1386",3517,3493
"43","1979",130,393
"28","1678",1789,3933
"22","1464",11503,12682
"16","1832",26166,31852
"33","1536",2686,4236
"15","1357",1383,2139
"9","1348",1149,2872
"32","1615",555,608
"34","1835",15614,20228
"77","2020",785,963
"45","1489",1625,2195
"70","1983",185,178
"53","1943",14,13
"77","2019",944,945
"60","1834",53,43
"14","1522",66,218
"35","2057",13898,14361
"53","1949",971,1014
"45","1751",1312,4229
"9","1435",1013,1244
"22","1307",843,815
"59","2094",2920,3324
"42","1789",183,203
"57","1349",3029,3127
"44","1390",512,501
"37","1238",214,211
"19","1445",906,1229
"27","1720",659,677
"75","1356",0,0
"76","1142",1017,1011
"6","1473",2837,3066
"73","1403",2970,3186
"17","1722",1017,1249
"1","1806",591,665
"65","1350",429,404
"9","1807",2619,6580
"28","1212",7427,14980
"10","1514",3303,3643
"31","2080",7985,7828
"19","1778",248,618
"65","2098",11024,15644
"41","1430",17612,18230
"52","1900",921,956
"25","1945",4627,4741
"28","1930",470,1208
"37","1805",81,87
"55","1830",2697,3414
"25","1153",1233,1201
"63","1378",660,731
"66","1998",31,28
"47","1564",1832,1919
"30","1656",1329,1743
"52","1947",366,391
"52","1696",398,648
"9","1479",850,967
"42","1920",475,969
"62","1581",370,362
"20","1102",2085,2515
"61","1244",816,824
"62","1574",2263,2584
"32","1341",491,481
"38","1846",3763,4079
"19","1972",298,642
"66","1877",40,33
"70","1862",82,111
"26","1599",19,14
"66","1245",86,66
"21","2040",5787,5784
"22","1385",769,795
"34","1103",1959,2176
"58","1731",499,480
"25","1550",2251,2276
"42","1804",7411,20203
"4","1691",1023,2449
"61","1909",151,168
"72","1487",1677,2751
"34","1659",12880,13298
"44","1953",129,126
"28","1272",1426,1872
"35","1181",3708,5076
"7","1492",10800,24556
"6","1157",1695,1742
"66","1895",191,377
"34","1421",21981,24100
"64","1697",499,671
"34","2004",27345,35572
"51","1876",0,0
"31","1887",2556,2544
"67","1758",1010,1291
"71","1901",16,12
"16","1960",2260,2489
"23","1438",1509,3088
"8","1828",377,950
"52","1493",813,1076
"5","1641",948,901
"41","2059",6736,8259
"42","1994",298,648
"21","1389",150,233
"26","1759",97,73
"48","1742",3557,4932
"42","1400",2409,2695
"4","1667",1158,2063
"26","1934",16,12
"46","1353",1026,1165
"35","1612",4677,8701
"39","1714",1055,1163
"15","1728",957,1273
"34","1186",9103,10897
"42","1122",4106,5948
"15","1816",42,40
"46","1136",1125,1274
"40","1869",202,855
"43","1671",3723,4599
"3","1773",437,592
"59","1511",3106,4228
"12","1633",2180,2484
"42","1937",170,270
"12","1750",0,0
"46","1785",84,174
"52","1950",796,1539
"26","1973",12,9
"77","2021",1141,1199
"6","1723",21382,27122
"61","1942",246,246
"55","1125",1203,1206
"61","2097",4937,5188
"5","1363",153,145
"40","1254",592,1698
"19","1642",4944,6201
"68","1557",1355,1309
"65","1770",20,31
"37","1264",52,46
"41","2058",2468,2987
"1","1104",14538,16856
"26","1939",14,10
"35","1448",11015,12769
"20","1803",1183,1565
"68","1866",27,123
"60","1858",0,0
"10","1171",11119,22765
"6","1744",2796,2934
"24","1243",1035,3773
"35","1563",6715,7885
"65","1175",1225,4710
"35","1432",862,939
"34","1663",13782,19130
"56","1317",141,180
"48","1517",10162,10825
"1","1437",1103,1161
"12","1475",0,0
"61","1917",283,259
"71","1880",161,175
"81","1905",387,412
"7","2037",13699,15883
"1","1734",1328,1475
"24","1406",118,197
"9","1781",920,901
"4","1287",8088,27137
"37","1940",8,6
"35","2009",5727,9720
"62","1397",294,296
"44","1148",1800,1804
"20","1889",331,423
"61","1113",3947,5698
"21","1504",363,425
"58","1650",455,349
"52","1328",3563,4587
"17","1160",2101,1955
"20","1257",3851,5574
"19","1556",330,1071
"17","1180",1178,1311
"13","1106",614,1337
"41","1440",1919,1835
"66","1952",24,60
"69","1767",0,0
"15","1813",189,210
"9","1542",14483,28928
"3","1923",224,207
"8","1395",4227,12680
"2","1347",178,174
"34","2049",18318,22164
"43","1625",1124,1430
"6","1815",15164,21374
"37","1140",263,333
"33","2064",10148,11805
"71","1954",55,52
"49","1213",417,521
"43","1304",739,855
"6","1872",6266,6581
"53","1332",476,945
"42","1760",316,427
"16","1530",4083,5526
"65","1918",2040,2354
"13","1537",280,832
"52","1158",732,925
"25","2044",3772,3995
"37","1101",0,0
"61","1842",413,1033
"28","1912",155,150
"21","2041",5728,6193
"21","2043",8278,7851
"29","1660",336,346
"18","1649",24,18
"48","1488",1193,2588
"2","1425",1357,1350
"21","1490",405,422
"38","1680",807,916
"49","1510",477,469
"64","1170",3047,3215
"31","2083",860,867
"58","1282",3517,4230
"40","1754",465,820
"52","1706",6800,8338
"28","1133",201,202
"45","1606",5029,8862
"16","1420",1757,1947
"43","1843",128,186
"25","1396",2365,2436
"58","1738",1239,1771
"26","1618",62,92
"9","1498",6504,6981
"35","1203",15488,19516
"70","1768",1070,1175
"20","1774",194,246
"48","1197",11289,12120
"17","1190",3262,3784
"54","2068",8554,8963
"36","1756",262,279
"80","2028",449,806
"45","1127",15322,46350
"2","1592",175,560
"55","1879",948,952
"80","1743",2117,2619
"48","1831",3180,5307
"18","1399",115,108
"34","2050",15715,19973
"31","1591",4663,5582
"11","1210",4305,4383
"56","1179",310,858
"44","1772",21589,23060
"31","1131",1815,4360
"30","1261",294,809
"51","1904",440,342
"41","2061",867,1305
"73","1223",1673,5000
"45","1269",1141,1195
"35","2013",1726,1993
"12","1446",300,626
"34","1782",3030,5252
"42","1814",8256,14363
"60","1987",1411,2326
"52","1482",692,945
"10","1310",3997,4075
"73","1931",430,863
"46","2085",3932,4164
"6","1302",2291,2546
"37","1836",0,0
"60","1308",2603,4434
"35","1178",1791,2041
"48","1719",1592,2358
"58","1913",96,105
"20","1670",1339,1808
"68","1861",294,650
"48","1958",273,491
"44","1114",1372,1351
"58","1431",532,514
"63","1713",4445,5308
"54","1818",1053,1035
"40","1429",649,792
"57","1290",0,0
"24","1853",1360,1363
"71","1463",785,1162
"62","1562",360,310
"55","1676",1894,2478
"39","1480",0,0
"7","1946",68,90
"10","1608",632,709
"38","1863",8837,13216
"33","1135",5419,7185
"50","1367",437,438
"26","2046",1466,1156
"63","2092",6662,6841
"54","1955",651,635
"51","1700",144,136
"52","1119",836,1407
"10","1161",9507,13497
"44","1969",365,1144
"38","1275",2755,3409
"7","1121",239,262
"13","1798",2913,2985
"37","1685",1270,1222
"28","1854",863,955
"66","1242",98,263
"33","2065",4711,5739
"42","1902",1102,1462
"35","2056",7729,9565
"20","1888",86,153
"39","1163",4282,4592
"4","1568",2301,4583
"15","1899",2188,7878
"24","1675",567,1096
"10","2078",5155,6132
"11","1857",157,363
"63","2093",2843,3365
"29","1684",429,423
"26","1508",33,25
"40","1529",1195,1676
"38","1576",648,1033
"33","1621",5043,6683
"33","2067",10716,10766
"65","1565",1144,1321
"25","1657",434,462
"3","1594",2902,3248
"49","1711",759,836
"24","1583",173,184
"68","1860",350,594
"61","1966",79,113
"53","1405",256,1094
