"il_kod","ilce_kod","islem_adeti","islem_suresi"
"45","1362",157226,13477
"37","1915",6638,1147
"34","2055",3590,1103
"66","1726",284725,28611
"52","2103",127656,16594
"47","1273",662640,40811
"31","1970",31905,3672
"19","1124",86183,10198
"36","1601",655611,62081
"18","1248",284076,21722
"53","1241",14358,4377
"54","1847",30549,4284
"20","1871",100113,14912
"41","2063",41830,4252
"54","1351",53529,11033
"50","1274",83510,12511
"81","2017",11661,2938
"11","1359",25111,4387
"39","1270",72573,5012
"16","1799",9556,1354
"45","1590",158470,26894
"18","1300",19156,2969
"74","1761",10376,1493
"61","1732",37689,4842
"21","1624",337540,22403
"58","1342",189805,15256
"52","1891",10170,2597
"21","1263",49953,9213
"25","1683",184934,13108
"31","1382",74124,7421
"63","2091",252598,17859
"7","2038",38033,8832
"35","1521",159187,13849
"34","2051",8688,3210
"34","1852",5620,2460
"25","1416",144990,11123
"30","1737",464378,75494
"17","1205",1760,277
"81","1794",34392,4165
"19","1850",42529,4346
"55","1386",163576,17599
"33","1536",318965,24611
"9","1348",123181,12759
"32","1615",103352,9465
"77","2020",3464,649
"70","1983",25543,2787
"77","2019",11445,1085
"60","1834",84501,7140
"14","1522",41941,6289
"35","2057",11921,5431
"53","1949",9524,2508
"45","1751",34689,3325
"9","1435",75639,6992
"59","2094",134204,18258
"42","1789",47016,3095
"19","1445",86282,7924
"75","1356",509253,38625
"76","1142",440415,73357
"17","1722",355274,57696
"65","1350",100189,9112
"28","1212",106768,12378
"31","2080",406124,22432
"19","1778",35650,3482
"65","2098",364491,171645
"41","1430",218348,41571
"52","1900",32291,3783
"37","1805",36552,2959
"55","1830",78394,6913
"63","1378",81526,5078
"66","1998",70186,4853
"47","1564",26200,4230
"20","1102",359421,64320
"66","1877",52793,3878
"70","1862",46462,3327
"66","1245",86229,10068
"21","2040",364959,25837
"22","1385",228787,17566
"34","1103",3087,2915
"42","1804",120476,27181
"4","1691",362965,22549
"72","1487",353367,26144
"28","1272",145404,18219
"35","1181",489579,46090
"7","1492",22610,13894
"66","1895",43489,4049
"34","2004",11961,4384
"31","1887",27845,2470
"67","1758",13734,3053
"71","1901",7491,2290
"16","1960",48278,8615
"23","1438",214442,17961
"52","1493",93179,9526
"5","1641",237834,33184
"41","2059",3170,1116
"42","1994",10817,2079
"21","1389",69498,14125
"48","1742",44620,7147
"42","1400",364349,50730
"4","1667",249149,15261
"35","1612",32928,3124
"34","1186",4320,1419
"15","1816",130485,26044
"46","1136",170409,26642
"3","1773",29929,2759
"12","1633",216471,20052
"6","1723",24071,2962
"61","1942",4808,1186
"37","1264",71169,11900
"1","1104",188571,16401
"26","1939",17205,1960
"20","1803",74532,11886
"60","1858",57257,4599
"10","1171",195739,20291
"6","1744",272540,16795
"35","1563",872242,97180
"65","1175",166487,13443
"35","1432",48039,3179
"1","1437",447066,60034
"12","1475",19692,2097
"61","1917",76203,61599
"24","1406",48326,3505
"9","1781",16063,2363
"4","1287",904976,51647
"61","1113",106698,14916
"21","1504",347046,23190
"52","1328",56677,8214
"17","1160",65236,7804
"19","1556",35876,6013
"17","1180",94365,8690
"69","1767",77456,5762
"3","1923",64244,5279
"8","1395",44662,19038
"34","2049",10196,7070
"33","2064",174084,12041
"43","1304",82292,8200
"6","1872",112981,8410
"53","1332",14607,6745
"42","1760",252283,23440
"13","1537",217373,19120
"52","1158",65963,7091
"37","1101",970,354
"21","2041",121147,10783
"18","1649",128350,12800
"2","1425",173525,18523
"21","1490",260361,50209
"31","2083",10817,1026
"40","1754",45519,4377
"28","1133",40256,4017
"35","1203",28740,4332
"70","1768",237938,17008
"80","2028",59464,5797
"80","1743",91488,13603
"31","1591",67279,11430
"11","1210",56782,5540
"51","1904",75714,16192
"41","2061",43522,3815
"73","1223",452975,35868
"45","1269",83298,8717
"12","1446",492784,62374
"58","1484",55733,4858
"34","1782",27427,2363
"42","1814",667533,61788
"10","1310",22013,3773
"73","1931",221684,12576
"46","2085",303948,27167
"37","1836",8018,1104
