"il_kod","ilce_kod","islem_adeti","islem_suresi"
"45","1362",19187,11886
"37","1915",4159,2054
"34","2055",1337,3372
"66","1726",12439,9396
"52","2103",51990,43385
"47","1273",14273,8119
"31","1970",17035,12614
"19","1124",30207,20398
"36","1601",40058,19201
"18","1248",4522,4326
"53","1241",4692,2863
"54","1847",5522,3439
"20","1871",14259,7913
"41","2063",3585,2641
"54","1351",9920,5715
"50","1274",11651,6600
"81","2017",5319,3475
"11","1359",4912,2823
"39","1270",1813,1320
"16","1799",3506,2785
"45","1590",43891,31814
"18","1300",2348,1267
"74","1761",4045,2250
"61","1732",12577,6887
"21","1624",19496,11310
"58","1342",7266,5427
"52","1891",9152,4554
"21","1263",5651,4339
"25","1683",115195,112014
"31","1382",7364,6395
"63","2091",23513,12650
"7","2038",15390,8517
"35","1521",13262,9329
"34","2051",946,479
"34","1852",274,111
"25","1416",5465,3123
"30","1737",47127,46877
"17","1205",503,674
"81","1794",6706,4103
"19","1850",10738,7077
"55","1386",16314,8471
"33","1536",19414,10770
"9","1348",22336,14057
"32","1615",11740,7906
"77","2020",1098,590
"70","1983",4158,4093
"77","2019",8729,5000
"60","1834",5613,3119
"14","1522",9244,5246
"35","2057",644,341
"53","1949",1160,825
"45","1751",13064,9450
"9","1435",9367,5401
"59","2094",27533,24250
"42","1789",1322,878
"19","1445",4208,2955
"75","1356",48031,21097
"76","1142",31257,18413
"17","1722",22827,12610
"65","1350",102542,39920
"28","1212",29262,15354
"31","2080",32894,25257
"19","1778",1758,1169
"65","2098",13668,7517
"41","1430",135943,42825
"52","1900",15343,8845
"37","1805",2672,2026
"55","1830",6473,5477
"63","1378",3994,2263
"66","1998",4202,2564
"47","1564",7366,5620
"20","1102",33877,17825
"70","1862",5712,2963
"66","1245",5137,2706
"21","2040",8734,7485
"22","1385",11310,6012
"34","1103",8,3
"42","1804",63773,45364
"4","1691",17891,11881
"72","1487",10326,5875
"28","1272",26548,18417
"35","1181",54578,24633
"7","1492",24337,17048
"66","1895",3623,2290
"34","2004",1734,725
"31","1887",3860,2039
"67","1758",20159,10776
"71","1901",5182,4560
"16","1960",7439,5250
"23","1438",4360,3305
"52","1493",23720,10981
"5","1641",9621,6038
"41","2059",165,56
"42","1994",2207,2257
"21","1389",10458,7807
"48","1742",5334,3599
"42","1400",33414,15856
"4","1667",11432,9152
"35","1612",8171,6244
"34","1186",113,40
"15","1816",2819,1498
"46","1136",23033,20455
"3","1773",6461,3995
