"ust_kategori","tarimsal_alt_grup","il_kod","il_adi","ilce_kod","ilce_adi","period","duzey_kodu","duzey_tip","y2021","y2022","y2023","y2024","il_ilce_adi"
Tarýmsal Üretim,Diðer,1,Adana,1104,Seyhan,yillik,1104,4,230,240,236,244,Adana Seyhan
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1104,Seyhan,yillik,1104,4,140,149,149,149,Adana Seyhan
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1104,Seyhan,yillik,1104,4,4,4,4,6,Adana Seyhan
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1104,Seyhan,yillik,1104,4,34,38,38,36,Adana Seyhan
Tarýmsal Üretim,Örtüaltý süs bitkileri,1,Adana,1104,Seyhan,yillik,1104,4,12,12,12,12,Adana Seyhan
Tarýmsal Üretim,Sebzeler,1,Adana,1104,Seyhan,yillik,1104,4,65,69,69,69,Adana Seyhan
Tarýmsal Üretim,Süs bitkileri,1,Adana,1104,Seyhan,yillik,1104,4,6,6,6,6,Adana Seyhan
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1104,Seyhan,yillik,1104,4,62,78,78,74,Adana Seyhan
Tarýmsal Üretim,Diðer,1,Adana,1219,Ceyhan,yillik,1219,4,246,248,254,260,Adana Ceyhan
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1219,Ceyhan,yillik,1219,4,125,130,130,140,Adana Ceyhan
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1219,Ceyhan,yillik,1219,4,2,4,4,4,Adana Ceyhan
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1219,Ceyhan,yillik,1219,4,10,10,10,10,Adana Ceyhan
Tarýmsal Üretim,Sebzeler,1,Adana,1219,Ceyhan,yillik,1219,4,38,40,42,54,Adana Ceyhan
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1219,Ceyhan,yillik,1219,4,70,70,74,102,Adana Ceyhan
Tarýmsal Üretim,Diðer,1,Adana,1329,Feke,yillik,1329,4,148,162,162,158,Adana Feke
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1329,Feke,yillik,1329,4,85,100,100,110,Adana Feke
Tarýmsal Üretim,Sebzeler,1,Adana,1329,Feke,yillik,1329,4,12,14,14,16,Adana Feke
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1329,Feke,yillik,1329,4,31,43,43,47,Adana Feke
Tarýmsal Üretim,Diðer,1,Adana,1437,Karaisalý,yillik,1437,4,214,221,218,210,Adana Karaisalý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1437,Karaisalý,yillik,1437,4,150,165,160,160,Adana Karaisalý
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1437,Karaisalý,yillik,1437,4,0,4,4,4,Adana Karaisalý
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1437,Karaisalý,yillik,1437,4,4,4,4,4,Adana Karaisalý
Tarýmsal Üretim,Sebzeler,1,Adana,1437,Karaisalý,yillik,1437,4,28,37,37,41,Adana Karaisalý
Tarýmsal Üretim,Süs bitkileri,1,Adana,1437,Karaisalý,yillik,1437,4,0,2,2,2,Adana Karaisalý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1437,Karaisalý,yillik,1437,4,70,82,78,83,Adana Karaisalý
Tarýmsal Üretim,Diðer,1,Adana,1443,Karataþ,yillik,1443,4,218,218,214,218,Adana Karataþ
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1443,Karataþ,yillik,1443,4,95,110,110,115,Adana Karataþ
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1443,Karataþ,yillik,1443,4,2,2,2,2,Adana Karataþ
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1443,Karataþ,yillik,1443,4,18,20,20,18,Adana Karataþ
Tarýmsal Üretim,Sebzeler,1,Adana,1443,Karataþ,yillik,1443,4,23,33,37,35,Adana Karataþ
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1443,Karataþ,yillik,1443,4,62,66,70,78,Adana Karataþ
Tarýmsal Üretim,Diðer,1,Adana,1486,Kozan,yillik,1486,4,273,272,274,278,Adana Kozan
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1486,Kozan,yillik,1486,4,165,174,170,170,Adana Kozan
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1486,Kozan,yillik,1486,4,2,2,4,4,Adana Kozan
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1486,Kozan,yillik,1486,4,2,4,6,6,Adana Kozan
Tarýmsal Üretim,Sebzeler,1,Adana,1486,Kozan,yillik,1486,4,45,45,45,49,Adana Kozan
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1486,Kozan,yillik,1486,4,94,110,114,118,Adana Kozan
Tarýmsal Üretim,Diðer,1,Adana,1580,Pozantý,yillik,1580,4,141,133,136,136,Adana Pozantý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1580,Pozantý,yillik,1580,4,75,80,80,85,Adana Pozantý
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1580,Pozantý,yillik,1580,4,0,0,2,2,Adana Pozantý
Tarýmsal Üretim,Sebzeler,1,Adana,1580,Pozantý,yillik,1580,4,6,6,6,6,Adana Pozantý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1580,Pozantý,yillik,1580,4,23,23,23,23,Adana Pozantý
Tarýmsal Üretim,Diðer,1,Adana,1588,Saimbeyli,yillik,1588,4,146,145,149,151,Adana Saimbeyli
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1588,Saimbeyli,yillik,1588,4,90,90,90,90,Adana Saimbeyli
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1588,Saimbeyli,yillik,1588,4,6,4,6,6,Adana Saimbeyli
Tarýmsal Üretim,Sebzeler,1,Adana,1588,Saimbeyli,yillik,1588,4,14,14,14,17,Adana Saimbeyli
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1588,Saimbeyli,yillik,1588,4,59,59,63,71,Adana Saimbeyli
Tarýmsal Üretim,Diðer,1,Adana,1687,Tufanbeyli,yillik,1687,4,170,194,193,192,Adana Tufanbeyli
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1687,Tufanbeyli,yillik,1687,4,65,65,65,70,Adana Tufanbeyli
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1687,Tufanbeyli,yillik,1687,4,2,2,2,2,Adana Tufanbeyli
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1687,Tufanbeyli,yillik,1687,4,4,4,4,4,Adana Tufanbeyli
Tarýmsal Üretim,Sebzeler,1,Adana,1687,Tufanbeyli,yillik,1687,4,12,12,12,20,Adana Tufanbeyli
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1687,Tufanbeyli,yillik,1687,4,59,71,75,90,Adana Tufanbeyli
Tarýmsal Üretim,Diðer,1,Adana,1734,Yumurtalýk,yillik,1734,4,240,239,234,232,Adana Yumurtalýk
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1734,Yumurtalýk,yillik,1734,4,90,100,110,109,Adana Yumurtalýk
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1734,Yumurtalýk,yillik,1734,4,2,2,2,2,Adana Yumurtalýk
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1734,Yumurtalýk,yillik,1734,4,18,14,16,16,Adana Yumurtalýk
Tarýmsal Üretim,Sebzeler,1,Adana,1734,Yumurtalýk,yillik,1734,4,32,28,40,42,Adana Yumurtalýk
Tarýmsal Üretim,Süs bitkileri,1,Adana,1734,Yumurtalýk,yillik,1734,4,2,2,2,2,Adana Yumurtalýk
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1734,Yumurtalýk,yillik,1734,4,54,58,62,66,Adana Yumurtalýk
Tarýmsal Üretim,Diðer,1,Adana,1748,Yüreðir,yillik,1748,4,265,259,263,262,Adana Yüreðir
