il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Manisa,Salihli,11.0,4.395666473868918,4.0,6.604333526131082,norm_fazlasi
Ankara,Yenimahalle,21.0,14.418584001506371,14.0,6.581415998493629,norm_fazlasi
Kayseri,Melikgazi,15.0,8.570190820531804,9.0,6.4298091794681955,norm_fazlasi
Ýstanbul,Çekmeköy,9.0,3.981541511740938,4.0,5.018458488259062,norm_fazlasi
Mersin,Akdeniz,10.0,5.13301290618763,5.0,4.86698709381237,norm_fazlasi
Kayseri,Kocasinan,12.0,7.4305828198633455,7.0,4.5694171801366545,norm_fazlasi
Adana,Yüreðir,11.0,6.469328169155526,6.0,4.530671830844474,norm_fazlasi
Mersin,Toroslar,9.0,4.567058574185702,5.0,4.432941425814298,norm_fazlasi
Ýzmir,Aliaða,7.0,2.7850499440765426,3.0,4.214950055923458,norm_fazlasi
Antalya,Manavgat,11.0,6.926890589292363,7.0,4.073109410707637,norm_fazlasi
Ýstanbul,Bakýrköy,9.0,5.338966163951086,5.0,3.6610338360489143,norm_fazlasi
Diyarbakýr,Baðlar,9.0,5.38306219677977,5.0,3.61693780322023,norm_fazlasi
Muðla,Menteþe,7.0,3.4118733412190063,3.0,3.5881266587809937,norm_fazlasi
Muðla,Marmaris,7.0,3.703584358280924,4.0,3.296415641719076,norm_fazlasi
Adana,Çukurova,10.0,6.840423128749758,7.0,3.159576871250242,norm_fazlasi
Mersin,Yeniþehir,8.0,4.854238071351061,5.0,3.1457619286489393,norm_fazlasi
Ýzmir,Balçova,6.0,2.881096790559239,3.0,3.118903209440761,norm_fazlasi
Muðla,Bodrum,9.0,6.120132578486725,6.0,2.879867421513275,norm_fazlasi
Mersin,Anamur,5.0,2.1790212573478245,2.0,2.8209787426521755,norm_fazlasi
Ýstanbul,Kartal,10.0,7.181623326413543,7.0,2.8183766735864566,norm_fazlasi
Ýstanbul,Büyükçekmece,7.0,4.2988865682556145,4.0,2.7011134317443855,norm_fazlasi
Ýstanbul,Kadýköy,12.0,9.383872619943602,9.0,2.6161273800563976,norm_fazlasi
Mersin,Tarsus,8.0,5.410674055169007,5.0,2.5893259448309927,norm_fazlasi
Antalya,Konyaaltý,7.0,4.419903317679008,4.0,2.580096682320992,norm_fazlasi
Ýstanbul,Baþakþehir,11.0,8.42176047420768,8.0,2.57823952579232,norm_fazlasi
Ýzmir,Çiðli,7.0,4.429540748164028,4.0,2.570459251835972,norm_fazlasi
Antalya,Serik,6.0,3.5272049460250297,4.0,2.4727950539749703,norm_fazlasi
Ankara,Gölbaþý,7.0,4.640026558154938,5.0,2.359973441845062,norm_fazlasi
Kocaeli,Ýzmit,9.0,6.6481641107853555,7.0,2.3518358892146445,norm_fazlasi
Ýstanbul,Sultanbeyli,7.0,4.7222648939342315,5.0,2.2777351060657685,norm_fazlasi
Ýstanbul,Üsküdar,11.0,8.734157806646948,9.0,2.265842193353052,norm_fazlasi
Antalya,Muratpaþa,13.0,10.766476769972208,11.0,2.2335232300277923,norm_fazlasi
Hatay,Ýskenderun,6.0,3.9554027876872135,4.0,2.0445972123127865,norm_fazlasi
Ýstanbul,Eyüpsultan,9.0,7.037476677388094,7.0,1.962523322611906,norm_fazlasi
Ýstanbul,Beþiktaþ,7.0,5.077417086093755,5.0,1.9225829139062451,norm_fazlasi
Ýstanbul,Zeytinburnu,7.0,5.156491341310376,5.0,1.8435086586896237,norm_fazlasi
Ýstanbul,Sarýyer,8.0,6.158020311845043,6.0,1.8419796881549573,norm_fazlasi
Ýstanbul,Beykoz,6.0,4.202547991504192,4.0,1.7974520084958083,norm_fazlasi
Ýzmir,Karaburun,3.0,1.2255987689535477,1.0,1.7744012310464523,norm_fazlasi
Ýzmir,Bayraklý,7.0,5.251166835989867,5.0,1.748833164010133,norm_fazlasi
Konya,Karatay,8.0,6.28430384360205,6.0,1.71569615639795,norm_fazlasi
Bursa,Gürsu,4.0,2.296699880694444,2.0,1.7033001193055561,norm_fazlasi
Denizli,Pamukkale,9.0,7.3172718796751886,7.0,1.6827281203248114,norm_fazlasi
Antalya,Kemer,4.0,2.3915055239280525,2.0,1.6084944760719475,norm_fazlasi
Ýstanbul,Pendik,10.0,8.402767308335577,8.0,1.5972326916644235,dengede
Balýkesir,Altýeylül,6.0,4.417061579238044,4.0,1.5829384207619563,norm_fazlasi
Sinop,Gerze,3.0,1.429705670715065,1.0,1.570294329284935,norm_fazlasi
Ýstanbul,Maltepe,9.0,7.453172653377187,7.0,1.5468273466228126,norm_fazlasi
Muðla,Seydikemer,4.0,2.4554711545709305,2.0,1.5445288454290695,norm_fazlasi
Ýstanbul,Adalar,3.0,1.4605347670568833,1.0,1.5394652329431167,norm_fazlasi
Eskiþehir,Odunpazarý,8.0,6.5280423299152535,7.0,1.4719576700847465,norm_fazlasi
Erzurum,Palandöken,5.0,3.548610950619429,4.0,1.451389049380571,norm_fazlasi
Ankara,Keçiören,15.0,13.551823220591245,14.0,1.4481767794087546,dengede
Ýstanbul,Bayrampaþa,7.0,5.560357417646877,6.0,1.4396425823531231,norm_fazlasi
Ankara,Haymana,3.0,1.5861855149761475,2.0,1.4138144850238525,norm_fazlasi
Manisa,Þehzadeler,5.0,3.604190239481727,4.0,1.395809760518273,norm_fazlasi
Muðla,Ortaca,4.0,2.620820524298659,3.0,1.3791794757013411,norm_fazlasi
Giresun,Bulancak,3.0,1.6713527082318964,2.0,1.3286472917681036,norm_fazlasi
Muðla,Fethiye,8.0,6.691551008062406,7.0,1.3084489919375937,dengede
Diyarbakýr,Sur,4.0,2.7217035147017583,3.0,1.2782964852982417,norm_fazlasi
Manisa,Yunusemre,6.0,4.725810491928455,5.0,1.2741895080715446,norm_fazlasi
Þanlýurfa,Karaköprü,5.0,3.7331303599697767,4.0,1.2668696400302233,norm_fazlasi
Aydýn,Kuþadasý,5.0,3.744861294423238,4.0,1.255138705576762,norm_fazlasi
Çanakkale,Eceabat,2.0,0.7511097034679746,1.0,1.2488902965320254,norm_fazlasi
Ýstanbul,Ataþehir,8.0,6.767687111868703,7.0,1.2323128881312968,dengede
Manisa,Turgutlu,5.0,3.7745519814585227,4.0,1.2254480185414773,norm_fazlasi
Mersin,Erdemli,6.0,4.777026662363815,5.0,1.2229733376361853,norm_fazlasi
Ýstanbul,Tuzla,6.0,4.778486194024975,5.0,1.2215138059750252,norm_fazlasi
Ýstanbul,Çatalca,4.0,2.783525204597057,3.0,1.216474795402943,norm_fazlasi
Muðla,Milas,6.0,4.789560472422163,5.0,1.2104395275778366,norm_fazlasi
