il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Bingöl,Kiðý,2105,,201,1.0,2.0,-1.3420159160384104,norm_eksigi,,0.0,,belirsiz,1.0,5.0,-3.6553849333231954,norm_eksigi
Bingöl,Solhan,14993,,248,5.0,6.0,-0.5323467963370287,dengede,,1.0,,belirsiz,4.0,7.0,-3.2454069745365404,norm_eksigi
Düzce,Gölyaka,8901,,286,4.0,4.0,-0.059572287592276396,dengede,1.0,1.0,-0.04923319977370033,dengede,5.0,7.0,-1.6377857172651211,norm_eksigi
Adana,Aladað,11878,,342,3.0,5.0,-2.311226646093748,norm_eksigi,1.0,1.0,0.04720012982296895,dengede,7.0,8.0,-0.6392376591448325,dengede
Adana,Ceyhan,113379,,570,12.0,12.0,0.10095188334819127,dengede,4.0,4.0,0.2690591678214238,dengede,21.0,15.0,6.124440636789608,norm_fazlasi
Artvin,Yusufeli,5434,,331,6.0,4.0,1.5428537365110238,norm_fazlasi,1.0,1.0,0.16472577089030604,dengede,4.0,7.0,-2.8893536122992893,norm_eksigi
Adana,Çukurova,289068,,388,10.0,9.0,0.5343738774608013,dengede,10.0,7.0,3.159576871250242,norm_fazlasi,13.0,13.0,0.18016037079055458,dengede
Adana,Feke,9559,,331,5.0,5.0,-0.021336028336711443,dengede,,1.0,,belirsiz,6.0,7.0,-1.3481241995212283,dengede
Adana,Ýmamoðlu,18260,,439,7.0,7.0,0.2728147764098976,dengede,1.0,1.0,-0.48270193813345386,dengede,16.0,10.0,6.425049374870005,norm_fazlasi
Adana,Karaisalý,17326,,504,8.0,10.0,-1.5093283456697417,dengede,2.0,2.0,0.3651582808737077,dengede,13.0,11.0,1.6690222881802086,dengede
Adana,Karataþ,18854,,466,5.0,8.0,-2.741726669533918,norm_eksigi,1.0,1.0,-0.4676633113236106,dengede,14.0,10.0,3.6021172960547823,norm_fazlasi
Adana,Kozan,84549,,625,12.0,11.0,0.9337749867602501,dengede,3.0,3.0,-0.06612035672143923,dengede,31.0,14.0,16.951406347914357,norm_fazlasi
Adana,Pozantý,14190,,252,5.0,4.0,0.9346697164775808,dengede,1.0,1.0,-0.3844987913393627,dengede,10.0,7.0,3.425330090773759,norm_fazlasi
Adana,Saimbeyli,10432,,335,4.0,5.0,-0.6895113138434859,dengede,,1.0,,belirsiz,3.0,7.0,-4.33391148044042,norm_eksigi
Adana,Sarýçam,174701,,556,14.0,10.0,3.6196704535399693,norm_fazlasi,5.0,4.0,0.6926414447052247,dengede,21.0,14.0,7.348881241061221,norm_fazlasi
Adana,Seyhan,562903,,596,18.0,16.0,1.8721876518478453,dengede,11.0,11.0,-0.2533397575686056,dengede,28.0,20.0,8.213489868649553,norm_fazlasi
Adana,Tufanbeyli,8625,,378,3.0,6.0,-2.977129309021824,norm_eksigi,,1.0,,belirsiz,4.0,8.0,-4.45959716787053,norm_eksigi
Adana,Yumurtalýk,12084,,469,3.0,6.0,-3.396865638139907,norm_eksigi,1.0,1.0,-0.3674599750523697,dengede,9.0,9.0,-0.4157967627678776,dengede
Adana,Yüreðir,272630,,579,20.0,14.0,6.054606693295314,norm_fazlasi,11.0,6.0,4.530671830844474,norm_fazlasi,43.0,17.0,26.061136574909003,norm_fazlasi
Adýyaman,Besni,38935,,500,9.0,9.0,0.42121981827031973,dengede,1.0,2.0,-0.8209370601555159,dengede,15.0,11.0,3.5531712805333235,norm_fazlasi
Adýyaman,Çelikhan,8298,,275,5.0,4.0,0.8970909893710672,dengede,,1.0,,belirsiz,7.0,6.0,0.5519540098939766,dengede
Adýyaman,Gerger,1961,,394,3.0,4.0,-0.6183834569197,dengede,,0.0,,belirsiz,3.0,6.0,-2.936617793416585,norm_eksigi
Adýyaman,Gölbaþý,26453,,431,7.0,8.0,-1.1871834343482863,dengede,1.0,2.0,-0.5882571426391456,dengede,9.0,10.0,-1.1475243480151534,dengede
Adýyaman,Kahta,61773,,443,11.0,9.0,2.269716367575281,norm_fazlasi,2.0,2.0,-0.44938413165850033,dengede,20.0,11.0,8.671386451713712,norm_fazlasi
Adýyaman,Samsat,2577,,320,3.0,3.0,-0.18505166574680754,dengede,,0.0,,belirsiz,6.0,6.0,0.22600040174459757,dengede
Adýyaman,Sincik,5040,,251,4.0,4.0,0.22513187849456395,dengede,,1.0,,belirsiz,5.0,6.0,-0.9862707973236233,dengede
Adýyaman,Tut,2619,,397,3.0,4.0,-1.0718497315578217,norm_eksigi,,0.0,,belirsiz,6.0,7.0,-0.570550662545708,dengede
Afyonkarahisar,Baþmakçý,3867,,417,5.0,5.0,0.1811236326275667,dengede,,1.0,,belirsiz,4.0,7.0,-3.4752386721593007,norm_eksigi
Afyonkarahisar,Bayat,3345,,353,4.0,4.0,0.17327254207374754,dengede,,0.0,,belirsiz,2.0,6.0,-4.478177727219999,norm_eksigi
Afyonkarahisar,Bolvadin,29923,,446,9.0,8.0,1.3554096552507726,dengede,2.0,2.0,-0.0405616774221933,dengede,8.0,10.0,-2.141719755198938,norm_eksigi
Afyonkarahisar,Çay,14898,,543,8.0,9.0,-0.5074065356788058,dengede,2.0,2.0,0.13116865849980086,dengede,8.0,11.0,-3.1649240243248293,norm_eksigi
Afyonkarahisar,Çobanlar,8280,,296,4.0,5.0,-0.5171855383400707,dengede,,1.0,,belirsiz,3.0,7.0,-3.9312636179530607,norm_eksigi
Afyonkarahisar,Dazkýrý,4523,,461,5.0,6.0,-0.5884060805068838,dengede,,1.0,,belirsiz,6.0,8.0,-2.2394758451362335,norm_eksigi
Afyonkarahisar,Dinar,24237,,561,8.0,9.0,-1.3132818749422164,dengede,1.0,2.0,-1.1674186573060314,norm_eksigi,10.0,12.0,-2.0916614521511416,dengede
Afyonkarahisar,Emirdað,21281,,373,10.0,9.0,0.8091265695085994,dengede,,1.0,,belirsiz,7.0,11.0,-4.317476712436401,norm_eksigi
