il_kod,ilce_kod,il_adi,ilce_adi,gida_mevcut,gida_tahmin,gida_tahmin_yuvarlak,gida_fark,gida_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
12,1475,Bingöl,Kiðý,0.0,0.0,0,0.0,dengede,2105,,201,56.0,74259.0
12,1633,Bingöl,Solhan,0.0,0.0,0,0.0,dengede,14993,,248,247.0,174480.0
81,1794,Düzce,Gölyaka,1.0,0.9402518,1,0.0,dengede,8901,,286,377.0,48315.0
1,1757,Adana,Aladað,1.0,1.4285505,1,0.0,dengede,11878,,342,145.0,79101.0
1,1219,Adana,Ceyhan,4.0,3.8034942,4,0.0,dengede,113379,,570,2426.0,972741.0
8,1736,Artvin,Yusufeli,1.0,1.2492034,1,0.0,dengede,5434,,331,357.0,17943.0
1,2033,Adana,Çukurova,10.0,6.9945188,7,3.0,norm_fazlasi,289068,,388,5860.0,90956.0
1,1329,Adana,Feke,0.0,0.016747423,0,0.0,dengede,9559,,331,193.0,53232.0
1,1806,Adana,Ýmamoðlu,1.0,0.891723,1,0.0,dengede,18260,,439,501.0,347479.0
1,1437,Adana,Karaisalý,2.0,1.2751604,1,1.0,norm_fazlasi,17326,,504,615.0,234393.0
1,1443,Adana,Karataþ,1.0,1.0867728,1,0.0,dengede,18854,,466,447.0,468214.0
1,1486,Adana,Kozan,3.0,2.7776198,3,0.0,dengede,84549,,625,1588.0,597859.0
1,1580,Adana,Pozantý,1.0,1.3395746,1,0.0,dengede,14190,,252,696.0,34660.0
1,1588,Adana,Saimbeyli,0.0,0.008817762,0,0.0,dengede,10432,,335,115.0,118601.0
1,2032,Adana,Sarýçam,5.0,4.117328,4,1.0,norm_fazlasi,174701,,556,2725.0,422915.0
1,1104,Adana,Seyhan,11.0,11.567038,12,-1.0,dengede,562903,,596,9446.0,273910.0
1,1687,Adana,Tufanbeyli,0.0,0.020051755,0,0.0,dengede,8625,,378,252.0,311293.0
1,1734,Adana,Yumurtalýk,1.0,1.2397407,1,0.0,dengede,12084,,469,483.0,278432.0
1,1748,Adana,Yüreðir,11.0,7.251827,7,4.0,norm_fazlasi,272630,,579,5026.0,735550.0
2,1182,Adýyaman,Besni,1.0,1.4930633,1,0.0,dengede,38935,,500,553.0,611269.0
2,1246,Adýyaman,Çelikhan,0.0,0.044661425,0,0.0,dengede,8298,,275,142.0,13385.0
2,1347,Adýyaman,Gerger,0.0,0.0,0,0.0,dengede,1961,,394,67.0,59060.0
2,1354,Adýyaman,Gölbaþý,1.0,1.4314996,1,0.0,dengede,26453,,431,504.0,176538.0
2,1425,Adýyaman,Kahta,2.0,1.6304762,2,0.0,dengede,61773,,443,1330.0,545162.0
2,1592,Adýyaman,Samsat,0.0,0.0,0,0.0,dengede,2577,,320,27.0,106919.0
2,1985,Adýyaman,Sincik,0.0,0.0,0,0.0,dengede,5040,,251,61.0,44319.0
2,1989,Adýyaman,Tut,0.0,0.12988594,0,0.0,dengede,2619,,397,207.0,73407.0
3,1771,Afyonkarahisar,Baþmakçý,0.0,0.075793356,0,0.0,dengede,3867,,417,424.0,88704.0
3,1773,Afyonkarahisar,Bayat,0.0,0.0,0,0.0,dengede,3345,,353,100.0,105233.0
3,1200,Afyonkarahisar,Bolvadin,2.0,1.4265984,1,1.0,norm_fazlasi,29923,,446,1081.0,220563.0
3,1239,Afyonkarahisar,Çay,2.0,1.4019587,1,1.0,norm_fazlasi,14898,,543,946.0,304398.0
3,1906,Afyonkarahisar,Çobanlar,0.0,0.011041574,0,0.0,dengede,8280,,296,189.0,117115.0
3,1267,Afyonkarahisar,Dazkýrý,0.0,0.061623096,0,0.0,dengede,4523,,461,346.0,125797.0
3,1281,Afyonkarahisar,Dinar,1.0,1.9072423,2,-1.0,norm_eksigi,24237,,561,1135.0,491119.0
3,1306,Afyonkarahisar,Emirdað,0.0,0.068378046,0,0.0,dengede,21281,,373,585.0,1084049.0
