il_kod,ilce_kod,il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
12,1475,Bingöl,Kiðý,2105,,201,1.0,1.4441749,1,0.0,dengede,0.0,0.0,0,0.0,dengede,1.0,1.2394364,1,0.0,dengede
12,1633,Bingöl,Solhan,14993,,248,5.0,3.806606,4,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,4.0,1.736426,2,2.0,norm_fazlasi
81,1794,Düzce,Gölyaka,8901,,286,4.0,3.6693661,4,0.0,dengede,1.0,0.9402518,1,0.0,dengede,5.0,5.094842,5,0.0,dengede
1,1757,Adana,Aladað,11878,,342,3.0,4.141265,4,-1.0,norm_eksigi,1.0,1.4285505,1,0.0,dengede,7.0,5.533355,6,1.0,dengede
1,1219,Adana,Ceyhan,113379,,570,12.0,12.259442,12,0.0,dengede,4.0,3.8034942,4,0.0,dengede,21.0,25.085382,25,-4.0,dengede
8,1736,Artvin,Yusufeli,5434,,331,6.0,3.390869,3,3.0,norm_fazlasi,1.0,1.2492034,1,0.0,dengede,4.0,4.553082,5,-1.0,norm_eksigi
1,2033,Adana,Çukurova,289068,,388,10.0,10.102925,10,0.0,dengede,10.0,6.9945188,7,3.0,norm_fazlasi,13.0,17.77898,18,-5.0,norm_eksigi
1,1329,Adana,Feke,9559,,331,5.0,3.9370363,4,1.0,norm_fazlasi,0.0,0.016747423,0,0.0,dengede,6.0,4.552993,5,1.0,norm_fazlasi
1,1806,Adana,Ýmamoðlu,18260,,439,7.0,5.415366,5,2.0,norm_fazlasi,1.0,0.891723,1,0.0,dengede,16.0,10.632972,11,5.0,norm_fazlasi
1,1437,Adana,Karaisalý,17326,,504,8.0,10.591853,11,-3.0,norm_eksigi,2.0,1.2751604,1,1.0,norm_fazlasi,13.0,9.584031,10,3.0,norm_fazlasi
