il_kod,ilce_kod,il_adi,ilce_adi,veteriner_mevcut,veteriner_tahmin,veteriner_tahmin_yuvarlak,veteriner_fark,veteriner_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
12,1475,Bingöl,Kiðý,1.0,1.4441749,1,0.0,dengede,2105,,201,56.0,74259.0
12,1633,Bingöl,Solhan,5.0,3.806606,4,1.0,norm_fazlasi,14993,,248,247.0,174480.0
81,1794,Düzce,Gölyaka,4.0,3.6693661,4,0.0,dengede,8901,,286,377.0,48315.0
1,1757,Adana,Aladað,3.0,4.141265,4,-1.0,norm_eksigi,11878,,342,145.0,79101.0
1,1219,Adana,Ceyhan,12.0,12.259442,12,0.0,dengede,113379,,570,2426.0,972741.0
8,1736,Artvin,Yusufeli,6.0,3.390869,3,3.0,norm_fazlasi,5434,,331,357.0,17943.0
1,2033,Adana,Çukurova,10.0,10.102925,10,0.0,dengede,289068,,388,5860.0,90956.0
1,1329,Adana,Feke,5.0,3.9370363,4,1.0,norm_fazlasi,9559,,331,193.0,53232.0
1,1806,Adana,Ýmamoðlu,7.0,5.415366,5,2.0,norm_fazlasi,18260,,439,501.0,347479.0
1,1437,Adana,Karaisalý,8.0,10.591853,11,-3.0,norm_eksigi,17326,,504,615.0,234393.0
1,1443,Adana,Karataþ,5.0,5.9794426,6,-1.0,dengede,18854,,466,447.0,468214.0
1,1486,Adana,Kozan,12.0,11.184434,11,1.0,dengede,84549,,625,1588.0,597859.0
1,1580,Adana,Pozantý,5.0,3.2174623,3,2.0,norm_fazlasi,14190,,252,696.0,34660.0
1,1588,Adana,Saimbeyli,4.0,3.9826925,4,0.0,dengede,10432,,335,115.0,118601.0
1,2032,Adana,Sarýçam,14.0,11.950702,12,2.0,dengede,174701,,556,2725.0,422915.0
1,1104,Adana,Seyhan,18.0,16.128326,16,2.0,dengede,562903,,596,9446.0,273910.0
1,1687,Adana,Tufanbeyli,3.0,4.790597,5,-2.0,norm_eksigi,8625,,378,252.0,311293.0
1,1734,Adana,Yumurtalýk,3.0,4.7049885,5,-2.0,norm_eksigi,12084,,469,483.0,278432.0
1,1748,Adana,Yüreðir,20.0,17.227997,17,3.0,dengede,272630,,579,5026.0,735550.0
2,1182,Adýyaman,Besni,9.0,7.062811,7,2.0,norm_fazlasi,38935,,500,553.0,611269.0
2,1246,Adýyaman,Çelikhan,5.0,3.9310055,4,1.0,norm_fazlasi,8298,,275,142.0,13385.0
2,1347,Adýyaman,Gerger,3.0,2.646684,3,0.0,dengede,1961,,394,67.0,59060.0
2,1354,Adýyaman,Gölbaþý,7.0,8.648818,9,-2.0,norm_eksigi,26453,,431,504.0,176538.0
2,1425,Adýyaman,Kahta,11.0,10.285638,10,1.0,dengede,61773,,443,1330.0,545162.0
2,1592,Adýyaman,Samsat,3.0,2.372481,2,1.0,norm_fazlasi,2577,,320,27.0,106919.0
2,1985,Adýyaman,Sincik,4.0,2.711288,3,1.0,norm_fazlasi,5040,,251,61.0,44319.0
2,1989,Adýyaman,Tut,3.0,3.2554963,3,0.0,dengede,2619,,397,207.0,73407.0
3,1771,Afyonkarahisar,Baþmakçý,5.0,3.5411794,4,1.0,norm_fazlasi,3867,,417,424.0,88704.0
3,1773,Afyonkarahisar,Bayat,4.0,3.076452,3,1.0,norm_fazlasi,3345,,353,100.0,105233.0
3,1200,Afyonkarahisar,Bolvadin,9.0,8.714627,9,0.0,dengede,29923,,446,1081.0,220563.0
3,1239,Afyonkarahisar,Çay,8.0,9.798719,10,-2.0,norm_eksigi,14898,,543,946.0,304398.0
3,1906,Afyonkarahisar,Çobanlar,4.0,3.904185,4,0.0,dengede,8280,,296,189.0,117115.0
3,1267,Afyonkarahisar,Dazkýrý,5.0,3.6612651,4,1.0,norm_fazlasi,4523,,461,346.0,125797.0
3,1281,Afyonkarahisar,Dinar,8.0,9.213762,9,-1.0,dengede,24237,,561,1135.0,491119.0
3,1306,Afyonkarahisar,Emirdað,10.0,7.003227,7,3.0,norm_fazlasi,21281,,373,585.0,1084049.0
3,1923,Afyonkarahisar,Evciler,4.0,3.0703256,3,1.0,norm_fazlasi,2804,,299,171.0,123494.0
3,1944,Afyonkarahisar,Hocalar,4.0,2.4572349,2,2.0,norm_fazlasi,1701,,306,125.0,69733.0
3,1404,Afyonkarahisar,Ýhsaniye,6.0,7.8924685,8,-2.0,norm_eksigi,12403,,376,381.0,336717.0
3,1809,Afyonkarahisar,Ýscehisar,4.0,4.9079313,5,-1.0,norm_eksigi,10320,,295,251.0,111360.0
3,1961,Afyonkarahisar,Kýzýlören,2.0,1.8058524,2,0.0,dengede,1187,,351,58.0,48199.0
3,1594,Afyonkarahisar,Sandýklý,10.0,8.424525,8,2.0,norm_fazlasi,26187,,477,1306.0,487045.0
3,1626,Afyonkarahisar,Sinanpaþa,6.0,6.9916773,7,-1.0,dengede,22151,,367,535.0,335313.0
3,1639,Afyonkarahisar,Sultandaðý,7.0,4.7769594,5,2.0,norm_fazlasi,7747,,417,279.0,264272.0
3,1664,Afyonkarahisar,Þuhut,10.0,7.582116,8,2.0,norm_fazlasi,12879,,462,729.0,561081.0
4,1283,Aðrý,Diyadin,4.0,6.716115,7,-3.0,norm_eksigi,11534,,207,295.0,369883.0
4,1301,Aðrý,Eleþkirt,7.0,5.665124,6,1.0,dengede,10047,,270,277.0,455991.0
4,1379,Aðrý,Hamur,7.0,6.2519016,6,1.0,dengede,1323,,194,52.0,237750.0
4,1568,Aðrý,Patnos,11.0,10.061009,10,1.0,dengede,36378,,260,776.0,539353.0
4,1667,Aðrý,Taþlýçay,7.0,6.352934,6,1.0,dengede,3991,,223,278.0,237855.0
4,1691,Aðrý,Tutak,5.0,5.950284,6,-1.0,dengede,4490,,233,279.0,444516.0
68,1860,Aksaray,Aðaçören,3.0,2.7580297,3,0.0,dengede,2599,,306,31.0,209146.0
68,1921,Aksaray,Eskil,7.0,6.825409,7,0.0,dengede,13820,,332,290.0,779054.0
68,1932,Aksaray,Gülaðaç,3.0,4.4218864,4,-1.0,norm_eksigi,9309,,435,132.0,186264.0
68,1861,Aksaray,Güzelyurt,3.0,3.5392668,4,-1.0,norm_eksigi,5249,,412,123.0,175064.0
68,1557,Aksaray,Ortaköy,6.0,6.5133057,7,-1.0,dengede,14684,,432,512.0,563141.0
68,1866,Aksaray,Sarýyahþi,3.0,2.2634323,2,1.0,norm_fazlasi,2711,,283,33.0,83346.0
68,2106,Aksaray,Sultanhaný,4.0,4.784157,5,-1.0,norm_eksigi,8360,,342,307.0,257980.0
5,1363,Amasya,Göynücek,4.0,3.4385192,3,1.0,norm_fazlasi,4117,,381,117.0,211719.0
5,1368,Amasya,Gümüþhacýköy,8.0,5.7078953,6,2.0,norm_fazlasi,12801,,472,545.0,215795.0
5,1938,Amasya,Hamamözü,3.0,2.081704,2,1.0,norm_fazlasi,1288,,388,65.0,49816.0
5,1524,Amasya,Merzifon,13.0,9.584326,10,3.0,norm_fazlasi,48897,,548,1716.0,521655.0
5,1641,Amasya,Suluova,10.0,9.179531,9,1.0,dengede,30018,,432,697.0,273133.0
5,1668,Amasya,Taþova,6.0,6.3670654,6,0.0,dengede,8401,,510,573.0,372702.0
6,1872,Ankara,Akyurt,7.0,8.058605,8,-1.0,dengede,31768,,423,1096.0,197830.0
6,1130,Ankara,Altýndað,8.0,9.143046,9,-1.0,dengede,309197,,310,9638.0,64660.0
6,1157,Ankara,Ayaþ,8.0,7.0836906,7,1.0,dengede,9539,,490,642.0,505498.0
6,1167,Ankara,Bala,6.0,6.757162,7,-1.0,dengede,16030,,415,391.0,1208434.0
6,1187,Ankara,Beypazarý,8.0,9.282583,9,-1.0,dengede,36201,,500,1806.0,639928.0
6,1227,Ankara,Çamlýdere,4.0,3.089225,3,1.0,norm_fazlasi,8457,,306,179.0,24838.0
6,1231,Ankara,Çankaya,14.0,16.699856,17,-3.0,dengede,793968,,350,29287.0,103471.0
6,1260,Ankara,Çubuk,14.0,13.342121,13,1.0,dengede,76312,,432,2281.0,391166.0
6,1302,Ankara,Elmadað,5.0,7.8356247,8,-3.0,norm_eksigi,34727,,412,1216.0,269253.0
6,1922,Ankara,Etimesgut,11.0,8.321984,8,3.0,norm_fazlasi,457662,,309,10121.0,54703.0
6,1924,Ankara,Evren,1.0,2.4099467,2,-1.0,norm_eksigi,2594,,327,59.0,138526.0
6,1744,Ankara,Gölbaþý,16.0,14.9068575,15,1.0,dengede,125765,,527,3772.0,824019.0
6,1365,Ankara,Güdül,4.0,4.5016146,5,-1.0,norm_eksigi,7683,,328,293.0,288524.0
6,1387,Ankara,Haymana,13.0,8.286104,8,5.0,norm_fazlasi,22234,,497,517.0,1335507.0
6,1815,Ankara,Kahramankazan,8.0,16.305948,16,-8.0,norm_eksigi,44785,,496,2939.0,261886.0
6,1427,Ankara,Kalecik,4.0,6.157634,6,-2.0,norm_eksigi,10024,,580,418.0,490129.0
6,1745,Ankara,Keçiören,9.0,8.781497,9,0.0,dengede,711423,,250,12605.0,25555.0
6,1473,Ankara,Kýzýlcahamam,6.0,5.8338385,6,0.0,dengede,24099,,315,800.0,103480.0
6,1746,Ankara,Mamak,8.0,8.4878645,8,0.0,dengede,519955,,356,8620.0,66781.0
6,1539,Ankara,Nallýhan,7.0,7.532235,8,-1.0,dengede,19724,,530,808.0,413407.0
6,1578,Ankara,Polatlý,13.0,17.959906,18,-5.0,norm_eksigi,94981,,500,3269.0,2214535.0
6,2034,Ankara,Pursaklar,4.0,5.924405,6,-2.0,norm_eksigi,118517,,349,2706.0,68836.0
6,1747,Ankara,Sincan,17.0,16.96209,17,0.0,dengede,435135,,546,7957.0,506417.0
6,1658,Ankara,Þereflikoçhisar,6.0,6.597726,7,-1.0,dengede,26049,,462,840.0,963713.0
6,1723,Ankara,Yenimahalle,13.0,10.713975,11,2.0,dengede,553961,,266,15474.0,54436.0
7,1121,Antalya,Akseki,4.0,3.7536814,4,0.0,dengede,8605,,313,155.0,15403.0
7,2035,Antalya,Aksu,10.0,9.13543,9,1.0,dengede,62680,,497,1107.0,173323.0
7,1126,Antalya,Alanya,16.0,12.713416,13,3.0,norm_fazlasi,259406,,407,7058.0,193579.0
7,1811,Antalya,Demre,6.0,3.507773,4,2.0,norm_fazlasi,21601,,230,1299.0,30902.0
7,2036,Antalya,Döþemealtý,16.0,12.486484,12,4.0,norm_fazlasi,69911,,543,1509.0,106698.0
7,1303,Antalya,Elmalý,9.0,9.432468,9,0.0,dengede,31255,,449,1000.0,466070.0
7,1333,Antalya,Finike,8.0,5.557295,6,2.0,norm_fazlasi,28059,,294,1294.0,68337.0
7,1337,Antalya,Gazipaþa,12.0,8.912089,9,3.0,norm_fazlasi,44520,,431,2004.0,102696.0
7,1370,Antalya,Gündoðmuþ,1.0,2.903403,3,-2.0,norm_eksigi,6903,,249,57.0,12484.0
7,1946,Antalya,Ýbradý,3.0,2.800277,3,0.0,dengede,3646,,269,56.0,4909.0
7,1451,Antalya,Kaþ,10.0,7.4522743,7,3.0,norm_fazlasi,32399,,380,1842.0,123503.0
7,1959,Antalya,Kemer,6.0,5.5879784,6,0.0,dengede,34554,,331,1703.0,15669.0
7,2037,Antalya,Kepez,12.0,13.217237,13,-1.0,dengede,475805,,473,7086.0,61645.0
7,2038,Antalya,Konyaaltý,8.0,8.313628,8,0.0,dengede,155728,,379,3497.0,35146.0
7,1483,Antalya,Korkuteli,16.0,11.415336,11,5.0,norm_fazlasi,47023,,496,1374.0,1016218.0
7,1492,Antalya,Kumluca,9.0,7.0053835,7,2.0,norm_fazlasi,58061,,346,1686.0,92772.0
7,1512,Antalya,Manavgat,23.0,18.650362,19,4.0,norm_fazlasi,249296,,665,5739.0,386092.0
7,2039,Antalya,Muratpaþa,12.0,8.92427,9,3.0,norm_fazlasi,400613,,316,11104.0,7790.0
7,1616,Antalya,Serik,14.0,14.14261,14,0.0,dengede,104101,,631,2131.0,359045.0
75,1252,Ardahan,Çýldýr,5.0,3.6364415,4,1.0,norm_fazlasi,1819,,203,79.0,135170.0
75,2008,Ardahan,Damal,5.0,3.3502302,3,2.0,norm_fazlasi,2223,,156,106.0,56158.0
75,1356,Ardahan,Göle,10.0,4.099307,4,6.0,norm_fazlasi,6620,,187,318.0,207020.0
75,1380,Ardahan,Hanak,9.0,3.3398697,3,6.0,norm_fazlasi,2202,,151,96.0,110420.0
75,1579,Ardahan,Posof,3.0,2.344676,2,1.0,norm_fazlasi,1564,,227,135.0,41398.0
8,1145,Artvin,Ardanuç,3.0,2.5539942,3,0.0,dengede,4316,,294,146.0,46227.0
8,1147,Artvin,Arhavi,3.0,2.724396,3,0.0,dengede,13351,,212,824.0,40392.0
8,1202,Artvin,Borçka,4.0,3.0166004,3,1.0,norm_fazlasi,8206,,195,272.0,84152.0
8,1395,Artvin,Hopa,2.0,3.281484,3,-1.0,norm_eksigi,17540,,201,514.0,33629.0
8,2105,Artvin,Kemalpaþa,2.0,2.3000526,2,0.0,dengede,4997,,152,316.0,21112.0
8,1828,Artvin,Murgul,3.0,2.1369386,2,1.0,norm_fazlasi,3970,,218,71.0,12469.0
8,1653,Artvin,Þavþat,5.0,3.165155,3,2.0,norm_fazlasi,5748,,218,199.0,30031.0
9,1206,Aydýn,Bozdoðan,8.0,8.905927,9,-1.0,dengede,26564,,585,718.0,271057.0
9,1781,Aydýn,Buharkent,3.0,4.421706,4,-1.0,norm_eksigi,10092,,415,306.0,35563.0
9,1256,Aydýn,Çine,12.0,12.077401,12,0.0,dengede,40046,,572,1303.0,339306.0
9,2000,Aydýn,Didim,9.0,8.577777,9,0.0,dengede,81769,,468,2099.0,123036.0
9,2076,Aydýn,Efeler,23.0,18.75676,19,4.0,norm_fazlasi,238106,,592,6460.0,352953.0
9,1348,Aydýn,Germencik,7.0,8.481169,8,-1.0,dengede,33539,,444,1274.0,254250.0
9,1807,Aydýn,Ýncirliova,9.0,9.003781,9,0.0,dengede,41805,,479,861.0,133970.0
9,1435,Aydýn,Karacasu,5.0,5.3056173,5,0.0,dengede,14465,,425,329.0,221754.0
9,1957,Aydýn,Karpuzlu,8.0,5.4249153,5,3.0,norm_fazlasi,9055,,435,245.0,140823.0
9,1479,Aydýn,Koçarlý,9.0,9.251793,9,0.0,dengede,18929,,453,632.0,221064.0
9,1968,Aydýn,Köþk,6.0,5.9823074,6,0.0,dengede,22811,,398,669.0,130978.0
9,1497,Aydýn,Kuþadasý,8.0,8.162783,8,0.0,dengede,112270,,335,3016.0,59771.0
9,1498,Aydýn,Kuyucak,10.0,8.66593,9,1.0,dengede,22039,,484,518.0,182993.0
9,1542,Aydýn,Nazilli,13.0,15.232555,15,-2.0,dengede,128377,,526,2901.0,304150.0
9,1637,Aydýn,Söke,17.0,13.373087,13,4.0,norm_fazlasi,95945,,533,2385.0,646309.0
9,1640,Aydýn,Sultanhisar,5.0,5.7695312,6,-1.0,dengede,16016,,442,893.0,154217.0
9,1724,Aydýn,Yenipazar,6.0,5.2101097,5,1.0,norm_fazlasi,9814,,426,271.0,105718.0
10,2077,Balýkesir,Altýeylül,28.0,17.50719,18,10.0,norm_fazlasi,148506,,560,3126.0,281664.0
10,1161,Balýkesir,Ayvalýk,9.0,11.863145,12,-3.0,norm_eksigi,62817,,427,2935.0,194494.0
10,1169,Balýkesir,Balya,6.0,6.7685986,7,-1.0,dengede,12054,,369,307.0,68724.0
10,1171,Balýkesir,Bandýrma,20.0,14.696112,15,5.0,norm_fazlasi,133155,,514,2716.0,347384.0
10,1191,Balýkesir,Bigadiç,14.0,11.590882,12,2.0,dengede,44996,,502,830.0,282339.0
10,1216,Balýkesir,Burhaniye,8.0,8.02926,8,0.0,dengede,57292,,386,1752.0,186573.0
10,1291,Balýkesir,Dursunbey,6.0,7.6924114,8,-2.0,norm_eksigi,28647,,488,818.0,155497.0
10,1294,Balýkesir,Edremit,9.0,9.289894,9,0.0,dengede,123817,,277,4236.0,214317.0
10,1310,Balýkesir,Erdek,4.0,5.7323675,6,-2.0,norm_eksigi,28097,,354,1193.0,54980.0
10,1928,Balýkesir,Gömeç,4.0,4.9670954,5,-1.0,norm_eksigi,13757,,331,672.0,132423.0
10,1360,Balýkesir,Gönen,10.0,13.205234,13,-3.0,norm_eksigi,66301,,575,1933.0,399490.0
10,1384,Balýkesir,Havran,9.0,6.0903854,6,3.0,norm_fazlasi,25769,,341,678.0,148018.0
10,1418,Balýkesir,Ývrindi,9.0,8.565657,9,0.0,dengede,27286,,467,827.0,121830.0
10,2078,Balýkesir,Karesi,22.0,16.798698,17,5.0,norm_fazlasi,149659,,457,3476.0,152339.0
10,1462,Balýkesir,Kepsut,9.0,7.788743,8,1.0,dengede,19704,,478,654.0,159559.0
10,1514,Balýkesir,Manyas,6.0,7.5584965,8,-2.0,norm_eksigi,15587,,484,472.0,314015.0
