il_kod,ilce_kod,il_adi,ilce_adi,ziraat_mevcut,ziraat_tahmin,ziraat_tahmin_yuvarlak,ziraat_fark,ziraat_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
12,1475,Bingöl,Kiðý,1.0,1.2394364,1,0.0,dengede,2105,,201,56.0,74259.0
12,1633,Bingöl,Solhan,4.0,1.736426,2,2.0,norm_fazlasi,14993,,248,247.0,174480.0
81,1794,Düzce,Gölyaka,5.0,5.094842,5,0.0,dengede,8901,,286,377.0,48315.0
1,1757,Adana,Aladað,7.0,5.533355,6,1.0,dengede,11878,,342,145.0,79101.0
1,1219,Adana,Ceyhan,21.0,25.085382,25,-4.0,dengede,113379,,570,2426.0,972741.0
8,1736,Artvin,Yusufeli,4.0,4.553082,5,-1.0,norm_eksigi,5434,,331,357.0,17943.0
1,2033,Adana,Çukurova,13.0,17.77898,18,-5.0,norm_eksigi,289068,,388,5860.0,90956.0
1,1329,Adana,Feke,6.0,4.552993,5,1.0,norm_fazlasi,9559,,331,193.0,53232.0
1,1806,Adana,Ýmamoðlu,16.0,10.632972,11,5.0,norm_fazlasi,18260,,439,501.0,347479.0
1,1437,Adana,Karaisalý,13.0,9.584031,10,3.0,norm_fazlasi,17326,,504,615.0,234393.0
1,1443,Adana,Karataþ,14.0,10.17695,10,4.0,norm_fazlasi,18854,,466,447.0,468214.0
1,1486,Adana,Kozan,31.0,25.26998,25,6.0,norm_fazlasi,84549,,625,1588.0,597859.0
1,1580,Adana,Pozantý,10.0,5.4638743,5,5.0,norm_fazlasi,14190,,252,696.0,34660.0
1,1588,Adana,Saimbeyli,3.0,4.70672,5,-2.0,norm_eksigi,10432,,335,115.0,118601.0
1,2032,Adana,Sarýçam,21.0,23.33617,23,-2.0,dengede,174701,,556,2725.0,422915.0
1,1104,Adana,Seyhan,28.0,28.660637,29,-1.0,dengede,562903,,596,9446.0,273910.0
1,1687,Adana,Tufanbeyli,4.0,7.476772,7,-3.0,norm_eksigi,8625,,378,252.0,311293.0
1,1734,Adana,Yumurtalýk,9.0,8.983218,9,0.0,dengede,12084,,469,483.0,278432.0
1,1748,Adana,Yüreðir,43.0,28.337612,28,15.0,norm_fazlasi,272630,,579,5026.0,735550.0
2,1182,Adýyaman,Besni,15.0,13.270163,13,2.0,dengede,38935,,500,553.0,611269.0
2,1246,Adýyaman,Çelikhan,7.0,6.3875713,6,1.0,dengede,8298,,275,142.0,13385.0
2,1347,Adýyaman,Gerger,3.0,2.3395586,2,1.0,norm_fazlasi,1961,,394,67.0,59060.0
2,1354,Adýyaman,Gölbaþý,9.0,11.389857,11,-2.0,dengede,26453,,431,504.0,176538.0
2,1425,Adýyaman,Kahta,20.0,18.354391,18,2.0,dengede,61773,,443,1330.0,545162.0
2,1592,Adýyaman,Samsat,6.0,3.3684995,3,3.0,norm_fazlasi,2577,,320,27.0,106919.0
2,1985,Adýyaman,Sincik,5.0,3.8368504,4,1.0,norm_fazlasi,5040,,251,61.0,44319.0
