il_adi,ilce_adi,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu
Balýkesir,Altýeylül,28.0,12.047197826145213,12.0,15.952802173854787,norm_fazlasi
Kayseri,Kocasinan,29.0,14.60379545501102,15.0,14.39620454498898,norm_fazlasi
Mersin,Erdemli,22.0,8.788388632972145,9.0,13.211611367027855,norm_fazlasi
Muðla,Seydikemer,23.0,10.766093018015951,11.0,12.233906981984049,norm_fazlasi
Balýkesir,Karesi,22.0,10.169099962499809,10.0,11.830900037500191,norm_fazlasi
Manisa,Salihli,22.0,11.46608108594863,11.0,10.53391891405137,norm_fazlasi
Mersin,Akdeniz,19.0,8.872201681620323,9.0,10.127798318379677,norm_fazlasi
Balýkesir,Bandýrma,20.0,10.118324753823789,10.0,9.881675246176211,norm_fazlasi
Ýzmir,Kemalpaþa,17.0,7.868752441809017,8.0,9.131247558190983,norm_fazlasi
Diyarbakýr,Sur,18.0,9.003543056814962,9.0,8.996456943185038,norm_fazlasi
Aydýn,Efeler,23.0,14.059804770964778,14.0,8.940195229035222,norm_fazlasi
Antalya,Manavgat,23.0,14.196682787114284,14.0,8.803317212885716,norm_fazlasi
Malatya,Yeþilyurt,19.0,10.699339928177324,11.0,8.300660071822676,norm_fazlasi
Hatay,Samandað,15.0,7.228228807650328,7.0,7.771771192349672,norm_fazlasi
Kahramanmaraþ,Onikiþubat,19.0,11.524810498564829,12.0,7.475189501435171,norm_fazlasi
Þanlýurfa,Eyyübiye,18.0,10.576612415171205,11.0,7.423387584828795,norm_fazlasi
Ýzmir,Kiraz,16.0,8.632958526313928,9.0,7.367041473686072,norm_fazlasi
Kahramanmaraþ,Pazarcýk,15.0,7.637574342611719,8.0,7.362425657388281,norm_fazlasi
Ýzmir,Tire,18.0,10.666981074778164,11.0,7.333018925221836,norm_fazlasi
Konya,Ereðli,25.0,17.767898223618058,18.0,7.232101776381942,norm_fazlasi
Antalya,Döþemealtý,16.0,8.80286828996378,9.0,7.197131710036221,norm_fazlasi
Ýzmir,Bergama,19.0,11.986827070874613,12.0,7.013172929125387,norm_fazlasi
Kars,Arpaçay,12.0,5.171106039845429,5.0,6.828893960154571,norm_fazlasi
Konya,Çumra,20.0,13.279057933879308,13.0,6.720942066120692,norm_fazlasi
Kahramanmaraþ,Dulkadiroðlu,16.0,9.316018076378105,9.0,6.683981923621895,norm_fazlasi
Mardin,Kýzýltepe,16.0,9.351904653605109,9.0,6.648095346394891,norm_fazlasi
Aydýn,Söke,17.0,10.572650403923369,11.0,6.427349596076631,norm_fazlasi
