il_adi,ilce_adi,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Mersin,Akdeniz,44.0,11.324163854722393,11.0,32.67583614527761,norm_fazlasi
Mersin,Erdemli,43.0,11.688910715154234,12.0,31.311089284845764,norm_fazlasi
Antalya,Aksu,37.0,10.634698359617813,11.0,26.365301640382185,norm_fazlasi
Adana,Yüreðir,43.0,16.938863425090997,17.0,26.061136574909003,norm_fazlasi
Diyarbakýr,Sur,33.0,11.559831695120538,12.0,21.440168304879464,norm_fazlasi
Antalya,Serik,35.0,13.731586215038998,14.0,21.268413784961,norm_fazlasi
Antalya,Kepez,37.0,15.790324011056693,16.0,21.209675988943307,norm_fazlasi
Samsun,Çarþamba,32.0,11.680060685929472,12.0,20.319939314070528,norm_fazlasi
Diyarbakýr,Yeniþehir,31.0,10.698055766484199,11.0,20.3019442335158,norm_fazlasi
Antalya,Alanya,34.0,13.871264457686443,14.0,20.128735542313557,norm_fazlasi
Ankara,Gölbaþý,35.0,14.986501110579175,15.0,20.013498889420823,norm_fazlasi
Osmaniye,Kadirli,32.0,12.249037681082735,12.0,19.750962318917267,norm_fazlasi
Mardin,Kýzýltepe,31.0,12.22421781425044,12.0,18.77578218574956,norm_fazlasi
Kahramanmaraþ,Dulkadiroðlu,30.0,12.1498258680849,12.0,17.8501741319151,norm_fazlasi
Ordu,Altýnordu,28.0,10.543171149249924,11.0,17.456828850750078,norm_fazlasi
Manisa,Salihli,32.0,14.610416689310679,15.0,17.38958331068932,norm_fazlasi
Þanlýurfa,Karaköprü,29.0,11.793032642560926,12.0,17.206967357439076,norm_fazlasi
Adana,Kozan,31.0,14.048593652085643,14.0,16.951406347914357,norm_fazlasi
Muðla,Seydikemer,31.0,14.204997674945812,14.0,16.795002325054188,norm_fazlasi
Mersin,Tarsus,34.0,18.247421324870004,18.0,15.752578675129996,norm_fazlasi
Mersin,Toroslar,26.0,11.361256072162561,11.0,14.638743927837439,norm_fazlasi
Þanlýurfa,Haliliye,29.0,14.54195000876932,15.0,14.45804999123068,norm_fazlasi
Antalya,Kumluca,23.0,8.717245225198905,9.0,14.282754774801095,norm_fazlasi
Van,Ýpekyolu,27.0,12.885571520392768,13.0,14.114428479607232,norm_fazlasi
Diyarbakýr,Kayapýnar,25.0,11.000169147211203,11.0,13.999830852788797,norm_fazlasi
Samsun,Atakum,24.0,10.360226771144514,10.0,13.639773228855486,norm_fazlasi
